% COMP47490 2017 - Assignment 1 Q1
% Dataset bank for student ID number 15211282
@relation bank-15211282

@attribute checking_account {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits','all paid','existing paid','delayed previously',critical}
@attribute purpose {'new car','used car',furniture,laptop,wedding,repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installments numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property {house,apartment,car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute existing_credits numeric
@attribute job {unemployed,unskilled,skilled,'highly qualified'}
@attribute num_dependents numeric
@attribute online_banking {none,yes}
@attribute international_visa {yes,no}
@attribute creditworthiness {high,low}

@data
'no checking',18,critical,laptop,1098,<100,unemployed,4,'female div/dep/mar',none,4,car,65,none,2,unemployed,1,none,yes,high
<0,12,'existing paid',furniture,2578,<100,unemployed,3,'female div/dep/mar',none,4,'no known property',55,none,1,'highly qualified',1,none,yes,high
0<=X<200,30,'no credits',business,4280,100<=X<500,1<=X<4,4,'female div/dep/mar',none,4,car,26,none,2,unskilled,1,none,yes,low
<0,39,critical,furniture,14179,'no known savings',4<=X<7,4,'male single',none,4,apartment,30,none,2,'highly qualified',1,yes,yes,high
'no checking',6,critical,furniture,1221,'no known savings',1<=X<4,1,'male mar/wid',none,2,apartment,27,none,2,skilled,1,none,yes,high
<0,9,'existing paid',laptop,1366,<100,<1,3,'female div/dep/mar',none,4,apartment,22,none,1,skilled,1,none,yes,low
'no checking',24,'existing paid','new car',2255,'no known savings',<1,4,'male single',none,1,apartment,54,none,1,skilled,1,none,yes,high
'no checking',9,critical,education,1244,'no known savings',>=7,4,'female div/dep/mar',none,4,apartment,41,none,2,unskilled,1,none,yes,high
<0,24,'existing paid',furniture,4020,<100,1<=X<4,2,'male single',none,2,car,27,stores,1,skilled,1,none,yes,high
<0,15,'existing paid',laptop,1053,<100,<1,4,'male mar/wid',none,2,house,27,none,1,skilled,1,none,no,high
>=200,15,'existing paid',education,392,<100,<1,4,'female div/dep/mar',none,4,apartment,23,none,1,skilled,1,yes,yes,high
'no checking',4,critical,'new car',1455,<100,4<=X<7,2,'male single',none,1,house,42,none,3,unskilled,2,none,yes,high
<0,6,critical,laptop,338,500<=X<1000,>=7,4,'male single',none,4,car,52,none,2,skilled,1,none,yes,high
0<=X<200,18,'existing paid',business,1941,>=1000,1<=X<4,4,'male single',none,2,apartment,35,none,1,unskilled,1,yes,yes,high
0<=X<200,18,critical,'new car',1056,<100,>=7,3,'male single',guarantor,3,house,30,bank,2,skilled,1,none,yes,low
0<=X<200,6,critical,retraining,932,'no known savings',4<=X<7,1,'female div/dep/mar',none,3,apartment,39,none,2,unskilled,1,none,yes,high
0<=X<200,12,critical,'new car',3124,<100,<1,1,'male single',none,3,house,49,bank,2,unskilled,2,none,yes,high
0<=X<200,30,'existing paid',furniture,3441,100<=X<500,1<=X<4,2,'female div/dep/mar','co applicant',4,car,21,none,1,skilled,1,none,yes,low
<0,15,'existing paid','new car',2511,<100,unemployed,1,'female div/dep/mar',none,4,car,23,none,1,skilled,1,none,yes,high
<0,12,'all paid','new car',697,<100,<1,4,'male single',none,2,car,46,bank,2,skilled,1,yes,yes,low
'no checking',15,'all paid',laptop,1569,100<=X<500,>=7,4,'male single',none,4,car,34,bank,1,unskilled,2,none,yes,high
<0,12,'no credits',repairs,1108,<100,4<=X<7,4,'male single',none,3,house,28,none,2,skilled,1,none,yes,low
0<=X<200,18,critical,laptop,1795,<100,>=7,3,'female div/dep/mar',guarantor,4,house,48,bank,2,unskilled,1,yes,yes,high
0<=X<200,36,'delayed previously','new car',8086,100<=X<500,>=7,2,'male single',none,4,car,42,none,4,'highly qualified',1,yes,yes,low
'no checking',24,critical,'new car',2463,100<=X<500,4<=X<7,4,'male mar/wid',none,3,apartment,27,none,2,skilled,1,yes,yes,high
'no checking',12,critical,business,2292,<100,unemployed,4,'male single',none,2,car,42,stores,2,'highly qualified',1,yes,yes,low
0<=X<200,18,'existing paid',education,1239,'no known savings',1<=X<4,4,'male single',none,4,'no known property',61,none,1,skilled,1,none,yes,high
>=200,18,'existing paid',laptop,2100,<100,1<=X<4,4,'male single','co applicant',2,house,37,stores,1,skilled,1,none,yes,low
'no checking',6,'existing paid',laptop,1595,<100,4<=X<7,3,'male single',none,2,apartment,51,none,1,skilled,2,none,yes,high
'no checking',6,'all paid',laptop,1750,500<=X<1000,>=7,2,'male single',none,4,apartment,45,bank,1,unskilled,2,none,yes,high
'no checking',36,'existing paid',furniture,3349,<100,1<=X<4,4,'female div/dep/mar',none,2,car,28,none,1,'highly qualified',1,yes,yes,low
0<=X<200,9,'existing paid',business,1391,<100,1<=X<4,2,'male mar/wid',none,1,house,27,bank,1,skilled,1,yes,yes,high
0<=X<200,42,critical,business,5954,<100,4<=X<7,2,'female div/dep/mar',none,1,house,41,bank,2,unskilled,1,none,yes,high
'no checking',24,critical,laptop,2223,100<=X<500,>=7,4,'male single',none,4,apartment,52,bank,2,skilled,1,none,yes,high
'no checking',24,'existing paid',retraining,937,<100,<1,4,'male mar/wid',none,3,car,27,none,2,unskilled,1,none,yes,high
0<=X<200,18,'existing paid',business,2622,100<=X<500,1<=X<4,4,'male single',none,4,car,34,none,1,skilled,1,none,yes,high
'no checking',24,'delayed previously',furniture,4151,100<=X<500,1<=X<4,2,'male single',none,3,apartment,35,none,2,skilled,1,none,yes,high
>=200,12,'delayed previously','new car',2247,<100,1<=X<4,2,'female div/dep/mar',none,2,car,36,stores,2,skilled,1,yes,yes,high
>=200,6,critical,'new car',1323,100<=X<500,>=7,2,'male div/sep',none,4,car,28,none,2,skilled,2,yes,yes,high
'no checking',12,critical,laptop,522,500<=X<1000,>=7,4,'male single',none,4,apartment,42,none,2,skilled,2,yes,yes,high
<0,9,critical,repairs,1288,100<=X<500,>=7,3,'male single',guarantor,4,house,48,none,2,skilled,2,none,no,high
<0,24,critical,laptop,1231,>=1000,>=7,4,'female div/dep/mar',none,4,apartment,57,none,2,'highly qualified',1,yes,yes,high
'no checking',6,'delayed previously',business,1743,100<=X<500,1<=X<4,1,'male single',none,2,house,34,none,2,unskilled,1,none,yes,high
0<=X<200,30,'no credits',business,4221,<100,1<=X<4,2,'female div/dep/mar',none,1,car,28,none,2,skilled,1,none,yes,high
'no checking',12,'no credits',furniture,2759,<100,>=7,2,'male single',none,4,apartment,34,none,2,skilled,1,none,yes,high
'no checking',12,'existing paid',laptop,1493,<100,<1,4,'female div/dep/mar',none,3,car,34,none,1,skilled,2,none,yes,high
<0,18,'existing paid',laptop,1345,<100,1<=X<4,4,'male mar/wid',none,3,house,26,bank,1,skilled,1,none,yes,low
0<=X<200,48,'no credits',business,14421,<100,1<=X<4,2,'male single',none,2,car,25,none,1,skilled,1,yes,yes,low
>=200,10,critical,'new car',781,<100,>=7,4,'male single',none,4,'no known property',63,none,2,skilled,1,yes,yes,high
0<=X<200,24,'existing paid',laptop,3092,100<=X<500,<1,3,'male mar/wid',none,2,car,22,none,1,skilled,1,yes,yes,low
'no checking',48,'delayed previously',laptop,12749,500<=X<1000,4<=X<7,4,'male single',none,1,car,37,none,1,'highly qualified',1,yes,yes,high
'no checking',12,critical,'new car',1163,500<=X<1000,1<=X<4,4,'male single',none,4,house,44,none,1,skilled,1,yes,yes,high
0<=X<200,10,'all paid',laptop,1048,<100,1<=X<4,4,'male single',none,4,house,23,stores,1,unskilled,1,none,yes,high
'no checking',60,'existing paid','new car',6527,'no known savings',1<=X<4,4,'male single',none,4,'no known property',34,none,1,skilled,2,yes,yes,high
<0,6,critical,'new car',609,<100,4<=X<7,4,'female div/dep/mar',none,3,apartment,37,none,2,skilled,1,none,no,high
'no checking',48,critical,'new car',10127,500<=X<1000,1<=X<4,2,'male single',none,2,'no known property',44,bank,1,skilled,1,none,yes,low
'no checking',18,critical,'new car',2775,<100,4<=X<7,2,'male single',none,2,apartment,31,bank,2,skilled,1,none,yes,low
'no checking',15,'delayed previously','used car',3594,<100,<1,1,'female div/dep/mar',none,2,apartment,46,none,2,unskilled,1,none,yes,high
>=200,10,critical,laptop,1347,'no known savings',4<=X<7,4,'male single',none,2,apartment,27,none,2,skilled,1,yes,yes,high
<0,30,'existing paid',furniture,3108,<100,<1,2,'male div/sep',none,4,apartment,31,none,1,unskilled,1,none,yes,low
<0,14,'existing paid','new car',3973,<100,unemployed,1,'male single',none,4,'no known property',22,none,1,skilled,1,none,yes,high
0<=X<200,18,'delayed previously',business,2427,'no known savings',>=7,4,'male single',none,2,apartment,42,none,2,skilled,1,none,yes,high
>=200,18,'existing paid',furniture,2864,<100,1<=X<4,2,'male single',none,1,house,34,none,1,unskilled,2,none,yes,low
'no checking',18,'all paid','new car',6458,<100,>=7,2,'male single',none,4,'no known property',39,bank,2,'highly qualified',2,yes,yes,low
<0,24,'all paid',business,3161,<100,1<=X<4,4,'male single',none,2,apartment,31,none,1,skilled,1,yes,yes,low
'no checking',10,'existing paid',education,727,500<=X<1000,>=7,4,'male single',none,4,'no known property',46,none,1,skilled,1,yes,yes,high
'no checking',30,critical,laptop,4530,<100,4<=X<7,4,'female div/dep/mar',none,4,car,26,none,1,'highly qualified',1,yes,yes,high
'no checking',36,'existing paid',furniture,10974,<100,unemployed,4,'female div/dep/mar',none,2,car,26,none,2,'highly qualified',1,yes,yes,low
0<=X<200,12,'existing paid',laptop,1103,<100,4<=X<7,4,'male single',guarantor,3,house,29,none,2,skilled,1,none,no,high
'no checking',12,critical,business,1264,'no known savings',>=7,4,'male single',none,4,'no known property',57,none,1,unskilled,1,none,yes,high
<0,8,critical,other,1164,<100,>=7,3,'male single',none,4,'no known property',51,bank,2,'highly qualified',2,yes,yes,high
<0,24,'existing paid',furniture,2359,100<=X<500,unemployed,1,'male div/sep',none,1,apartment,33,none,1,skilled,1,none,yes,low
'no checking',12,critical,laptop,930,'no known savings',>=7,4,'male single',none,4,house,65,none,4,skilled,1,none,yes,high
'no checking',12,'existing paid',laptop,2171,<100,<1,2,'female div/dep/mar',none,2,car,29,bank,1,skilled,1,none,yes,high
0<=X<200,12,'existing paid',laptop,2930,<100,4<=X<7,2,'female div/dep/mar',none,1,house,27,none,1,skilled,1,none,yes,high
0<=X<200,18,'existing paid',laptop,1301,<100,>=7,4,'male mar/wid',guarantor,2,house,32,none,1,unskilled,1,none,yes,high
>=200,12,'existing paid',laptop,3016,<100,1<=X<4,3,'male mar/wid',none,1,car,24,none,1,skilled,1,none,yes,high
0<=X<200,48,'all paid',business,3566,100<=X<500,4<=X<7,4,'male single',none,2,car,30,none,1,skilled,1,none,yes,high
>=200,15,'existing paid',education,1905,<100,>=7,4,'male single',none,4,car,40,none,1,'highly qualified',1,yes,yes,high
<0,8,critical,'new car',3398,<100,4<=X<7,1,'male single',none,4,house,39,none,2,unskilled,1,none,no,high
0<=X<200,24,'existing paid',laptop,1967,<100,>=7,4,'female div/dep/mar',none,4,car,20,none,1,skilled,1,yes,yes,high
<0,12,'existing paid','new car',1893,<100,1<=X<4,4,'female div/dep/mar',guarantor,4,apartment,29,none,1,skilled,1,yes,yes,high
'no checking',12,'existing paid',furniture,1736,<100,4<=X<7,3,'female div/dep/mar',none,4,house,31,none,1,unskilled,1,none,yes,high
<0,12,'existing paid',furniture,7865,<100,>=7,4,'male single',none,4,'no known property',53,none,1,'highly qualified',1,yes,yes,low
0<=X<200,15,'existing paid',laptop,802,<100,>=7,4,'male single',none,3,car,37,none,1,skilled,2,none,yes,low
'no checking',18,'existing paid',furniture,3422,<100,>=7,4,'male single',none,4,apartment,47,bank,3,skilled,2,yes,yes,high
<0,24,'all paid',furniture,2828,500<=X<1000,1<=X<4,4,'male single',none,4,house,22,stores,1,skilled,1,yes,yes,high
'no checking',36,'delayed previously',laptop,4463,<100,1<=X<4,4,'male single',none,2,car,26,none,2,'highly qualified',1,yes,yes,low
0<=X<200,24,'existing paid','used car',12579,<100,>=7,4,'female div/dep/mar',none,2,'no known property',44,none,1,'highly qualified',1,yes,yes,low
0<=X<200,6,'all paid',education,433,>=1000,<1,4,'female div/dep/mar',none,2,apartment,24,bank,1,skilled,2,none,yes,low
<0,12,'existing paid',laptop,674,100<=X<500,4<=X<7,4,'male mar/wid',none,1,apartment,20,none,1,skilled,1,none,yes,low
<0,18,critical,furniture,2124,<100,1<=X<4,4,'female div/dep/mar',none,4,house,24,none,2,skilled,1,none,yes,low
<0,18,'existing paid',laptop,2600,<100,1<=X<4,4,'male single',none,4,'no known property',65,none,2,skilled,1,none,yes,low
'no checking',6,'existing paid',laptop,1346,100<=X<500,>=7,2,'male single',none,4,'no known property',42,bank,1,skilled,2,yes,yes,high
0<=X<200,9,'existing paid','new car',1549,'no known savings',<1,4,'male single',none,2,house,35,none,1,unemployed,1,none,yes,high
'no checking',12,'existing paid',furniture,763,<100,1<=X<4,4,'female div/dep/mar',none,1,house,26,none,1,skilled,1,yes,yes,high
'no checking',12,critical,'new car',926,<100,unemployed,1,'female div/dep/mar',none,2,apartment,38,none,1,unemployed,1,none,yes,high
<0,60,'delayed previously',business,6836,<100,>=7,3,'male single',none,4,'no known property',63,none,2,skilled,1,yes,yes,low
0<=X<200,12,'existing paid',furniture,2762,'no known savings',>=7,1,'female div/dep/mar',none,2,apartment,25,bank,1,skilled,1,yes,yes,low
<0,24,critical,'used car',6615,<100,unemployed,2,'male single',none,4,'no known property',75,none,2,'highly qualified',1,yes,yes,high
0<=X<200,21,critical,furniture,2745,>=1000,4<=X<7,3,'male single',none,2,car,32,none,2,skilled,1,yes,yes,high
'no checking',15,'delayed previously',furniture,960,>=1000,4<=X<7,3,'female div/dep/mar',none,2,apartment,30,none,2,skilled,1,none,yes,high
<0,15,'delayed previously',furniture,3643,<100,>=7,1,'female div/dep/mar',none,4,apartment,27,none,2,unskilled,1,none,yes,high
0<=X<200,24,'existing paid',furniture,3069,100<=X<500,>=7,4,'male single',none,4,'no known property',30,none,1,skilled,1,none,yes,high
'no checking',24,'existing paid',laptop,1552,<100,4<=X<7,3,'male single',none,1,car,32,bank,1,skilled,2,none,yes,high
'no checking',6,'existing paid',laptop,518,<100,1<=X<4,3,'female div/dep/mar',none,1,house,29,none,1,skilled,1,none,yes,high
0<=X<200,9,'existing paid',laptop,790,500<=X<1000,1<=X<4,4,'female div/dep/mar',none,3,house,66,none,1,unskilled,1,none,yes,high
'no checking',18,critical,'used car',3850,<100,4<=X<7,3,'male single',none,1,car,27,none,2,skilled,1,none,yes,high
0<=X<200,12,'existing paid','new car',1223,<100,>=7,1,'male div/sep',none,1,house,46,none,2,skilled,1,none,yes,low
0<=X<200,10,'existing paid','new car',7308,<100,unemployed,2,'male single',none,4,'no known property',70,bank,1,'highly qualified',1,yes,yes,high
'no checking',6,critical,laptop,1898,'no known savings',1<=X<4,1,'male single',none,2,house,34,none,2,unskilled,2,none,yes,high
>=200,24,'existing paid',laptop,1377,100<=X<500,>=7,4,'female div/dep/mar',none,2,'no known property',47,none,1,skilled,1,yes,yes,high
'no checking',12,'existing paid',furniture,1768,<100,1<=X<4,3,'male single',none,2,house,24,none,1,unskilled,1,none,yes,high
'no checking',12,critical,education,2012,'no known savings',4<=X<7,4,'female div/dep/mar',none,2,car,61,none,1,skilled,1,none,yes,high
'no checking',54,'no credits','used car',9436,'no known savings',1<=X<4,2,'male single',none,2,apartment,39,none,1,unskilled,2,none,yes,high
'no checking',24,critical,business,4139,100<=X<500,1<=X<4,3,'male single',none,3,apartment,27,none,2,unskilled,1,yes,yes,high
'no checking',9,'existing paid',furniture,1313,<100,>=7,1,'male single',none,4,car,20,none,1,skilled,1,none,yes,high
<0,6,critical,'new car',3676,<100,1<=X<4,1,'male single',none,3,house,37,none,3,skilled,2,none,yes,high
'no checking',24,'existing paid',laptop,1278,<100,>=7,4,'male single',none,1,house,36,none,1,'highly qualified',1,yes,yes,high
0<=X<200,36,'existing paid','used car',6948,<100,1<=X<4,2,'male single',none,2,car,35,none,1,'highly qualified',1,yes,yes,high
'no checking',18,'existing paid',furniture,1984,<100,1<=X<4,4,'male single',none,4,'no known property',47,bank,2,skilled,1,none,yes,high
<0,30,'existing paid',furniture,2406,<100,4<=X<7,4,'female div/dep/mar',none,4,house,23,none,1,skilled,1,none,yes,low
0<=X<200,15,'existing paid',repairs,1308,<100,>=7,4,'male single',none,4,car,38,none,2,unskilled,1,none,yes,high
'no checking',12,critical,business,1412,<100,1<=X<4,4,'female div/dep/mar',guarantor,2,house,29,none,2,'highly qualified',1,yes,yes,high
<0,6,'existing paid','new car',14896,<100,>=7,1,'male single',none,4,'no known property',68,bank,1,'highly qualified',1,yes,yes,low
0<=X<200,36,'existing paid',repairs,2384,<100,<1,4,'male single',none,1,'no known property',33,none,1,unskilled,1,none,yes,low
0<=X<200,36,'existing paid',laptop,4795,<100,<1,4,'female div/dep/mar',none,1,'no known property',30,none,1,'highly qualified',1,yes,yes,high
'no checking',18,'delayed previously',business,2169,<100,1<=X<4,4,'male mar/wid',none,2,car,28,none,1,skilled,1,yes,yes,low
0<=X<200,30,critical,furniture,8386,<100,4<=X<7,2,'male single',none,2,apartment,49,none,1,skilled,1,none,yes,low
<0,36,critical,furniture,2348,<100,1<=X<4,3,'male mar/wid',none,2,apartment,46,none,2,skilled,1,yes,yes,high
<0,40,critical,education,5998,<100,1<=X<4,4,'male single',none,3,'no known property',27,bank,1,skilled,1,yes,yes,low
<0,24,'existing paid','used car',2964,'no known savings',>=7,4,'male single',none,4,'no known property',49,bank,1,skilled,2,yes,yes,high
'no checking',24,'delayed previously',business,2375,500<=X<1000,1<=X<4,4,'male single',none,2,car,44,none,2,skilled,2,yes,yes,high
0<=X<200,24,'existing paid','used car',4113,500<=X<1000,<1,3,'female div/dep/mar',none,4,car,28,none,1,skilled,1,none,yes,low
'no checking',36,'existing paid',education,1819,<100,1<=X<4,4,'male single',none,4,'no known property',37,stores,1,skilled,1,yes,yes,low
0<=X<200,60,'existing paid',education,6288,<100,1<=X<4,4,'male single',none,4,'no known property',42,none,1,skilled,1,none,yes,low
0<=X<200,24,critical,education,5743,<100,<1,2,'female div/dep/mar',none,4,'no known property',24,none,2,skilled,1,yes,yes,high
<0,18,'existing paid',education,750,<100,unemployed,4,'female div/dep/mar',none,1,house,27,none,1,unemployed,1,none,yes,low
'no checking',24,critical,'new car',1940,>=1000,>=7,4,'male single',none,4,house,60,none,1,skilled,1,yes,yes,high
0<=X<200,9,'existing paid',education,1199,<100,4<=X<7,4,'female div/dep/mar',none,4,apartment,67,none,2,'highly qualified',1,yes,yes,high
'no checking',6,'existing paid',furniture,1766,<100,1<=X<4,1,'male mar/wid',none,2,apartment,21,none,1,skilled,1,none,yes,high
<0,21,critical,'new car',1602,<100,>=7,4,'male mar/wid',none,3,car,30,none,2,skilled,1,yes,yes,high
'no checking',18,critical,furniture,1817,<100,1<=X<4,4,'female div/dep/mar',none,2,'no known property',28,none,2,skilled,1,none,yes,high
'no checking',60,critical,'new car',13756,'no known savings',>=7,2,'male single',none,4,'no known property',63,bank,1,'highly qualified',1,yes,yes,high
<0,24,'existing paid','new car',3123,<100,<1,4,'female div/dep/mar',none,1,apartment,27,none,1,skilled,1,none,yes,low
0<=X<200,21,'delayed previously','new car',2353,<100,1<=X<4,1,'male div/sep',none,4,apartment,47,none,2,skilled,1,none,yes,high
0<=X<200,36,'delayed previously','new car',7432,<100,1<=X<4,2,'female div/dep/mar',none,2,apartment,54,none,1,skilled,1,none,yes,high
'no checking',12,critical,'new car',1495,<100,>=7,4,'male single',none,1,house,38,none,2,unskilled,2,none,yes,high
0<=X<200,18,'existing paid',laptop,866,<100,1<=X<4,4,'male mar/wid',guarantor,2,house,25,none,1,unskilled,1,none,yes,high
0<=X<200,15,'delayed previously',repairs,1512,>=1000,1<=X<4,3,'male mar/wid',none,3,apartment,61,stores,2,skilled,1,none,yes,low
'no checking',15,'existing paid',wedding,1262,500<=X<1000,4<=X<7,4,'male single',none,3,apartment,36,none,2,skilled,1,yes,yes,high
<0,24,'all paid',other,1358,'no known savings',>=7,4,'male single',none,3,car,40,stores,1,'highly qualified',1,yes,yes,low
0<=X<200,11,'existing paid',furniture,1577,>=1000,<1,4,'female div/dep/mar',none,1,house,20,none,1,skilled,1,none,yes,high
0<=X<200,18,critical,furniture,3612,<100,>=7,3,'female div/dep/mar',none,4,apartment,37,none,1,skilled,1,yes,yes,high
'no checking',24,critical,laptop,2424,'no known savings',>=7,4,'male single',none,4,apartment,53,none,2,skilled,1,none,yes,high
'no checking',24,'existing paid',furniture,3972,<100,4<=X<7,2,'female div/dep/mar',none,4,apartment,25,none,1,skilled,1,yes,yes,high
'no checking',12,critical,furniture,1402,500<=X<1000,4<=X<7,3,'female div/dep/mar',none,4,car,37,none,1,skilled,1,yes,yes,high
0<=X<200,18,critical,furniture,1295,<100,<1,4,'female div/dep/mar',none,1,apartment,27,none,2,skilled,1,none,yes,high
'no checking',12,critical,furniture,1935,<100,>=7,4,'male single',none,4,house,43,none,3,skilled,1,yes,yes,high
'no checking',24,'existing paid','new car',3757,<100,>=7,4,'female div/dep/mar','co applicant',4,'no known property',62,none,1,skilled,1,yes,yes,high
'no checking',24,'existing paid',furniture,929,'no known savings',4<=X<7,4,'male single',none,2,car,31,stores,1,skilled,1,yes,yes,high
<0,45,'no credits',business,11816,<100,>=7,2,'male single',none,4,car,29,none,2,skilled,1,none,yes,low
'no checking',24,'existing paid','new car',1249,<100,<1,4,'male mar/wid',none,2,house,28,none,1,skilled,1,none,yes,high
0<=X<200,30,'existing paid',laptop,2991,'no known savings',>=7,2,'female div/dep/mar',none,4,car,25,none,1,skilled,1,none,yes,high
<0,36,'existing paid',furniture,2712,<100,>=7,2,'male single',none,2,apartment,41,bank,1,skilled,2,none,yes,low
'no checking',21,'existing paid','used car',5248,'no known savings',1<=X<4,1,'male single',none,3,car,26,none,1,skilled,1,none,yes,high
'no checking',36,'existing paid','new car',3079,'no known savings',1<=X<4,4,'male single',none,4,house,36,none,1,skilled,1,none,yes,high
0<=X<200,24,'existing paid',laptop,5084,'no known savings',>=7,2,'female div/dep/mar',none,4,car,42,none,1,skilled,1,yes,yes,high
0<=X<200,6,'delayed previously',business,1449,100<=X<500,>=7,1,'male div/sep',none,2,car,31,bank,2,skilled,2,none,yes,high
0<=X<200,9,critical,education,1501,<100,>=7,2,'female div/dep/mar',none,3,car,34,none,2,'highly qualified',1,yes,yes,low
<0,18,'no credits',furniture,3114,<100,<1,1,'female div/dep/mar',none,4,apartment,26,none,1,skilled,1,none,yes,low
<0,28,'existing paid','new car',4006,<100,1<=X<4,3,'male single',none,2,car,45,none,1,unskilled,1,none,yes,low
<0,42,critical,repairs,3394,<100,unemployed,4,'male single','co applicant',4,car,65,none,2,unemployed,1,none,yes,high
0<=X<200,21,'existing paid',business,2767,100<=X<500,>=7,4,'male div/sep',none,2,car,61,bank,2,unskilled,1,none,yes,low
0<=X<200,48,'existing paid',laptop,5951,<100,1<=X<4,2,'female div/dep/mar',none,2,house,22,none,1,skilled,1,none,yes,low
'no checking',27,'existing paid','new car',2570,<100,1<=X<4,3,'female div/dep/mar',none,3,house,21,none,1,skilled,1,none,yes,low
0<=X<200,60,'existing paid','new car',14027,<100,4<=X<7,4,'male single',none,2,'no known property',27,none,1,'highly qualified',1,yes,yes,low
0<=X<200,7,'existing paid',laptop,2415,<100,1<=X<4,3,'male single',guarantor,2,house,34,none,1,skilled,1,none,yes,high
'no checking',13,'existing paid',laptop,1409,100<=X<500,unemployed,2,'female div/dep/mar',none,4,house,64,none,1,skilled,1,none,yes,high
'no checking',36,critical,'used car',10477,'no known savings',>=7,2,'male single',none,4,'no known property',42,none,2,skilled,1,none,yes,high
<0,24,'all paid',furniture,3552,<100,4<=X<7,3,'male single',none,4,car,27,bank,1,skilled,1,none,yes,low
0<=X<200,24,'all paid',education,1837,<100,4<=X<7,4,'female div/dep/mar',none,4,'no known property',34,bank,1,unskilled,1,none,yes,low
0<=X<200,24,'existing paid','new car',1201,<100,<1,4,'male single',none,1,apartment,26,none,1,skilled,1,none,yes,high
0<=X<200,24,'existing paid',furniture,4057,<100,4<=X<7,3,'male div/sep',none,3,car,43,none,1,skilled,1,yes,yes,low
<0,18,'existing paid',furniture,3650,<100,<1,1,'female div/dep/mar',none,4,car,22,none,1,skilled,1,none,yes,high
0<=X<200,24,'delayed previously',business,4712,'no known savings',1<=X<4,4,'male single',none,2,apartment,37,bank,2,'highly qualified',1,yes,yes,high
0<=X<200,36,'delayed previously','new car',2225,<100,>=7,4,'male single',none,4,'no known property',57,bank,2,skilled,1,yes,yes,low
'no checking',12,'existing paid',business,1076,<100,1<=X<4,2,'male mar/wid',none,2,house,26,none,1,skilled,1,yes,no,high
'no checking',12,critical,education,3565,'no known savings',<1,2,'male single',none,1,apartment,37,none,2,unskilled,2,none,yes,high
'no checking',18,critical,education,1864,100<=X<500,1<=X<4,4,'female div/dep/mar',none,2,house,30,none,2,skilled,1,none,yes,low
0<=X<200,20,'delayed previously','used car',7057,'no known savings',4<=X<7,3,'male single',none,4,apartment,36,bank,2,'highly qualified',2,yes,yes,high
'no checking',24,critical,education,1597,<100,>=7,4,'male single',none,4,'no known property',54,none,2,skilled,2,none,yes,high
<0,24,'existing paid',furniture,4169,<100,1<=X<4,4,'male single',none,4,apartment,28,none,1,skilled,1,none,yes,high
<0,24,'all paid','new car',1193,<100,unemployed,1,'female div/dep/mar','co applicant',4,'no known property',29,none,2,unemployed,1,none,yes,low
0<=X<200,18,'existing paid',laptop,1113,<100,1<=X<4,4,'female div/dep/mar',guarantor,4,house,26,none,1,unskilled,2,none,yes,high
<0,11,critical,'new car',3939,<100,1<=X<4,1,'male single',none,2,house,40,none,2,unskilled,2,none,yes,high
<0,6,'existing paid',education,448,<100,<1,4,'female div/dep/mar',none,4,apartment,23,none,1,skilled,1,none,yes,low
0<=X<200,12,'no credits',retraining,1410,<100,1<=X<4,2,'male single',none,2,house,31,none,1,unskilled,1,yes,yes,high
<0,12,'existing paid','new car',3651,>=1000,1<=X<4,1,'male single',none,3,apartment,31,none,1,skilled,2,none,yes,high
'no checking',12,'existing paid',laptop,1262,<100,1<=X<4,3,'male single',none,2,car,25,none,1,skilled,1,none,yes,high
<0,12,'existing paid',furniture,3590,<100,1<=X<4,2,'male single','co applicant',2,apartment,29,none,1,unskilled,2,none,yes,high
<0,30,critical,'used car',10623,<100,>=7,3,'male single',none,4,'no known property',38,none,3,'highly qualified',2,yes,yes,high
<0,36,'existing paid',education,1977,'no known savings',>=7,4,'male single',none,4,'no known property',40,none,1,'highly qualified',1,yes,yes,low
'no checking',10,'existing paid','new car',1597,500<=X<1000,1<=X<4,3,'male single',none,2,'no known property',40,none,1,unskilled,2,none,no,high
>=200,24,critical,business,1275,>=1000,1<=X<4,2,'male div/sep',none,4,house,36,none,2,skilled,1,yes,yes,high
'no checking',6,'no credits','new car',1204,100<=X<500,1<=X<4,4,'male single',none,1,'no known property',35,bank,1,skilled,1,none,no,high
0<=X<200,24,'delayed previously',laptop,6403,<100,<1,1,'male single',none,2,car,33,none,1,skilled,1,none,yes,high
'no checking',24,critical,business,4526,<100,1<=X<4,3,'male single',none,2,house,74,none,1,'highly qualified',1,yes,yes,high
>=200,15,'existing paid',laptop,2327,<100,<1,2,'female div/dep/mar',none,3,house,25,none,1,unskilled,1,none,yes,low
'no checking',36,'existing paid','used car',8133,<100,1<=X<4,1,'female div/dep/mar',none,2,apartment,30,bank,1,skilled,1,none,yes,high
